jazzband/django-debug-toolbar 2008-08-28T06:58:04Z
qtile/qtile 2008-08-30T00:16:40Z
internetarchive/openlibrary 2008-10-30T05:20:14Z
biopython/biopython 2009-03-15T21:09:53Z
celery/celery 2009-04-24T11:31:24Z
pymc-devs/pymc3 2009-05-05T09:43:50Z
bottlepy/bottle 2009-06-30T17:51:30Z
mitmproxy/mitmproxy 2010-02-16T04:10:13Z
scrapy/scrapy 2010-02-22T02:01:14Z
pallets/flask 2010-04-06T11:11:59Z
sympy/sympy 2010-04-30T20:37:14Z
ipython/ipython 2010-05-10T04:46:06Z
cloudera/hue 2010-06-21T19:46:51Z
buildbot/buildbot 2010-07-06T17:56:53Z
readthedocs/readthedocs.org 2010-08-16T19:18:06Z
scikit-learn/scikit-learn 2010-08-17T09:43:38Z
praw-dev/praw 2010-08-19T04:00:07Z
pandas-dev/pandas 2010-08-24T01:37:33Z
getsentry/sentry 2010-08-30T22:06:41Z
networkx/networkx 2010-09-06T00:53:44Z
numpy/numpy 2010-09-13T23:02:39Z
pallets/werkzeug 2010-10-18T11:42:40Z
ytdl-org/youtube-dl 2010-10-31T14:35:07Z
kivy/kivy 2010-11-03T20:27:32Z
cython/cython 2010-11-21T07:44:20Z
django-oscar/django-oscar 2010-12-08T21:30:32Z
laramies/theHarvester 2011-01-01T20:40:15Z
matplotlib/matplotlib 2011-02-19T03:17:12Z
saltstack/salt 2011-02-20T20:16:56Z
jpadilla/pyjwt 2011-02-24T20:25:09Z
encode/django-rest-framework 2011-03-02T17:13:56Z
pypa/pip 2011-03-06T14:30:46Z
pypa/virtualenv 2011-03-06T14:33:27Z
scipy/scipy 2011-03-09T18:52:03Z
frappe/erpnext 2011-06-08T08:20:56Z
statsmodels/statsmodels 2011-06-12T17:04:50Z
scikit-image/scikit-image 2011-07-07T22:07:20Z
urllib3/urllib3 2011-09-18T18:08:28Z
ckan/ckan 2011-11-10T18:42:17Z
pyinstaller/pyinstaller 2011-11-23T11:05:56Z
kivy/python-for-android 2011-11-28T09:02:36Z
freedomofpress/securedrop 2012-01-11T19:57:55Z
PyGithub/PyGithub 2012-02-25T12:53:47Z
WeblateOrg/weblate 2012-02-27T09:33:29Z
ansible/ansible 2012-03-06T14:58:02Z
numba/numba 2012-03-08T11:12:43Z
pytube/pytube 2012-03-18T19:33:44Z
bokeh/bokeh 2012-03-26T15:40:01Z
jrnl-org/jrnl 2012-03-29T17:23:58Z
